time,SB Resource Stalls,cycles,ROB Resource Stalls
1.000386213,1140915,25852608,431031
2.000742929,44246,3205699,10834
3.001037973,53492,3840409,22710
4.001356589,3659863,93892742,2802145
5.001863468,799242,23082387,1717645
6.002333102,27125,2876118,4592
7.002686536,36660,3561265,17035
8.002980224,33817,4646971,52407
9.003270265,14938,3421878,18554
10.00356859,32637,4569733,49500
11.004032057,14390,3032723,10934
12.004500381,4399,2561613,1659
13.004823125,6694,2577442,4085
14.005232071,46015,3935595,26415
15.005571221,29852,3030428,6459
16.005986533,8945,2903610,6996
17.006447045,4799,2503239,3755
18.006944096,26115015,408721647,6744792
19.007279501,103504733,1969613897,9681537
20.007603694,291914303,6171130487,46198443
21.007945064,206453839,4320950107,44635539
22.00846966,196531165,4233226471,33843465
23.009031038,13073096,274509363,2863441
24.010013266,121243393,2335202480,18283721
25.012337402,1029518097,18910710926,92220714
26.013007892,1522581649,29440884314,212174379
27.013761258,1290687681,27562956060,300122088
28.014424281,1496404260,28942818489,275232581
29.015041606,1033414031,21763967810,245718593
30.015754664,1255079316,22456967598,189932700
31.016340317,1128736294,26245948961,84116272
32.017028004,480445828,21033950703,64771856
33.017599395,328909182,16672639835,39585302
34.018236615,324630847,19081119113,50544135
35.018883666,399497554,19016528410,64089875
36.019499141,194725703,19476159517,345035938
37.020148045,38567641,17062232910,735728803
38.020653377,782633778,19401546746,741719389
39.021287761,169993847,3035942827,74714211
40.021757509,423758196,7679526934,34362034
41.022248789,762934005,16377053596,188722913
42.022854684,797942940,16763871953,193840517
43.023491291,1037054310,21682408191,173991455
44.024044351,1044555643,20701188023,204013125
45.024630707,810257798,14973368505,221361107
46.025113271,608555422,11888229773,283631433
47.025534781,379865564,5479815917,205872049
48.026006182,334089068,5596032345,58888209
49.026464457,441136816,10736078388,100604256
50.026906377,296795198,10629253256,88151113
51.027344135,82165748,6941402343,22742877
52.027789153,54974144,6113342493,20267743
53.028231053,63663328,6225784331,19583887
54.028673357,58832304,6205616001,17036408
55.029094987,88792230,4637177661,38061366
56.029615354,14530072,174446349,4221096
57.030164282,8164932,87664512,650683
58.030674989,43334,3373690,4111
59.031169977,1343052,48048901,842756
60.031572458,47555,3218881,395
61.031980645,30487,3088193,622
62.032433533,7577204,248153176,17876909
63.032798386,103372369,1715419342,12612742
64.033137959,279366586,5895257499,37491901
65.033592351,195162523,4151772552,51256341
66.034170393,250256572,5359248201,41427805
67.034736451,24135850,430735405,3206329
68.035367932,22013318,485776358,3752426
69.036387915,582403496,10931814182,39640976
70.03740654,655712874,11969231756,41920847
71.038125811,1216701950,24129843276,195621455
72.038827273,1428961110,30174250015,353944467
73.039554935,1423888874,27434983144,271889778
74.040354686,881245741,21041551951,203610910
75.041223047,805094286,18319417379,191861845
76.042006974,1335984348,18821232915,38411479
77.042675441,819102710,23378280413,80566340
78.868390055,341813130,16707497105,38037396
79.869130962,332411560,18449726327,30359197
80.8697508,307571457,18480113588,38415140
81.870402436,288398641,19067352256,43766865
82.870954903,322368325,18680266695,37258698
83.871565933,220787288,20433063202,229414045
84.872220101,336534148,18841976175,269546947
85.872653055,531820526,10682494329,179063388
86.873430544,550323718,10141900369,48033186
87.874452029,696973032,12925196012,42129053
88.875230642,1374650570,27977448526,250942547
89.875962823,1435242365,29222927767,316476537
90.876555188,1312457731,26450362954,216268724
91.877295821,955132688,19375855484,216055048
92.878129936,848429237,18104441818,141766544
93.878959471,1327576351,20889531361,56459199
94.879653339,734113556,23144236561,60713194
95.880223004,359147244,20411649511,43131968
96.88087325,266947202,18156268364,16602170
97.881534896,375494169,18866614886,42230786
98.882201424,327229152,19677279333,52971334
99.882865816,256931387,18942136540,114943853
100.883486078,311340645,19724477630,241548003
101.884044839,475604814,14784511561,230223266
102.884483064,730431277,14010515638,127771411
103.885103845,199083193,5178752920,90028075
105.21310629,349920107,7015588979,35849146
106.213792868,1453275982,27384035607,202236985
107.214456957,1393151664,28195589997,239005593
108.215171856,1172415297,24819192512,252752253
109.215762211,996130520,20313912325,162453422
110.21644574,739466351,18319905615,136667640
111.217112144,584258887,18140065350,62968130
112.217678832,259721322,13620561891,46882848
113.218240359,245196086,13548768519,52668373
114.218824877,197556219,12852968686,71931357
115.219369506,276874577,14046954667,96880395
116.219921422,186084495,10327483281,121599236
117.220420517,299944254,7319569071,120399105
118.22091439,819635420,12568883240,96867383
119.221550306,917022906,18905307705,203195446
120.222197816,1003048526,21531940910,222429230
121.222765159,966539958,20676574904,218991287
122.223438083,936179225,19253480224,117318438
123.224107201,350550514,13119329542,58173458
124.224764648,216913168,10510505218,52472223
125.22541705,156545623,9586142980,42440412
126.225976342,181013313,10131857110,42783338
127.226528006,100766989,9793159895,77407667
128.227141212,420099269,11432342814,134942756
129.227650174,169454858,4278964316,69602777
130.228152232,316575167,5728714639,40026115
131.228684071,772687147,12698475434,137823767
132.229316007,803827346,16491272129,180819116
133.229874736,793983403,17307538045,181425735
134.23048153,599532021,13569788948,92407969
135.231069189,382263341,12523379592,68365139
136.231652673,268915848,11646853004,57926298
137.232246987,181200374,9910676996,47375050
138.232826593,155920581,9500905328,47317339
139.233380536,156641506,9958997772,86858187
140.233895993,223096530,9280807875,101362717
141.234417878,303543727,8682965268,93889588
142.234937975,890506854,16326114497,109647815
143.23547727,896443169,19741063199,124607825
144.236159925,843841290,17171891450,147969345
145.236725259,816973160,16926211286,192732712
146.237269409,633597740,14422352449,133800071
147.237919944,504353621,13497317834,78683401
148.238522978,290145589,12885143435,80101313
149.239068954,175417928,9354455640,50018762
150.239656421,178296644,9962285791,46859474
151.240239922,131461625,9662355993,70904311
152.240784061,204740109,9456360462,101394707
153.241296006,202686793,6226532893,81001805
154.241788174,415083673,7639431409,67923107
155.242332259,594493418,12155196459,112427737
156.242879711,839171213,16910079966,188146144
157.24355518,727293400,16658583024,162106375
158.244167885,553722143,14268867898,101162114
159.244841272,392932731,11959928295,81784060
160.245497967,263061405,11756631649,49984684
161.246159724,222106239,9963339315,50929134
162.246727118,150966636,10080346366,54568889
163.247318772,156942136,9524235749,83106386
164.247855363,269218484,9405702179,93002714
165.248360691,177255767,5179144600,83293630
166.248993068,392205325,7118958985,65804543
167.24955077,662936208,11835185711,95186198
168.25009433,555011884,12469386166,151334369
169.250620133,435678418,8352404445,84720982
170.251297203,654318650,15133681814,87494891
171.251977613,526766119,14765996226,267107061
172.252522741,844225272,11121276237,247841036
173.253065871,419140347,9803426679,284825734
174.253607865,464725328,9361235233,243715704
175.254148669,234289061,6513900707,164752357
176.254951756,125514598,2204504294,38632845
177.255825211,37977405,743217737,5354211
178.256582589,126636100,2496144114,43258286
179.257175527,235221294,6702942312,237280969
180.257754066,348439465,10603024636,298317572
181.260042061,1023113343,9003773027,190711252
182.260751646,560401178,7997911754,116091453
183.261431028,1087549926,22926150433,236201539
184.262135369,1103725113,23738751125,243749132
185.262819731,865225214,24473541633,87570143
186.263591378,592623012,20604744699,102005061
187.264437388,436278213,16962287097,84276349
188.265097693,384457612,20599570099,127543746
189.265774757,304800522,19419979316,115908895
190.266446524,251456501,18792173444,32983754
191.267115745,180428914,18905573003,80093143
192.267801708,272462050,21492308165,47303403
193.268465111,196467636,20652402925,44347720
194.269079048,599407729,20246778390,141792718
195.26969074,642636816,17073000800,89858892
196.27020126,665878061,18333840060,186297062
197.270662034,965000975,14233227948,127647691
198.271120299,902626167,11397727392,170476010
199.271575136,336202158,8757916328,152333542
200.2720015,532544821,10182117010,235809011
201.272479285,623114944,10642322305,103569340
202.273008085,633626281,16523522758,200518519
203.273506683,869344615,15982127035,87943443
204.273965107,318817605,10174756889,132284157
205.274421542,303231172,9804449644,139964274
206.274872596,251194676,9074596024,58705968
207.275340863,169653668,10611534386,72796352
208.275845797,153570684,11088213768,35194545
209.276414863,214866272,11968417440,58122381
210.276970244,191502444,6605901219,63871439
211.277495319,4738561,72947976,695403
212.27802656,2358241,37215720,349581
213.278427507,54847,3356951,22665
214.278912925,984629,25057343,381798
215.279334092,63359,3590648,1113
216.27982497,2526263,81212265,2522884
217.280345714,39981023,970481502,56987638
218.280707278,146357546,2768962752,13396756
219.281036639,283398915,6025625330,52561899
220.281419737,222285812,4822398475,46376878
221.282004081,144604467,3073717015,22993393
222.282583342,5570373,165858550,1832946
223.28322804,51633947,1132582335,7803465
224.283765383,268487312,5231484792,34207722
225.284276699,275342165,5843112202,62202034
226.284693886,274864060,5094331959,38765380
227.285090526,197307430,5270565525,78643675
228.285618311,87635198,973827429,17384543
229.286189316,5431259,60600055,476678
230.28680557,63841115,1041777734,5274612
231.287243291,276541622,5501020390,43174168
232.287642278,278245244,5567118913,57250714
233.288058581,254322273,5059477167,49753794
234.288474851,136466562,4815194542,62778820
235.289023165,55944178,1144002623,27785567
236.289552995,13647000,327607748,1528857
237.290062353,42443,3203888,6523
238.290565104,1021236,25573365,396546
239.291007745,33464,3090645,809
240.29141739,31120,3049954,690
241.291904134,3448952,102204625,3674631
242.292460578,67320798,1134726163,11782799
243.292830369,257652311,5137012153,29755481
244.293169649,191256375,4458933081,44912345
245.293582897,224153924,5040295215,48960765
246.294138328,89666628,1581287689,8306930
247.294702109,3158708,65288898,879609
248.295315337,93578736,1743356335,10226086
249.295766922,270096685,5724187974,52348352
250.296178415,259553016,5151218522,46420002
251.296733,141656807,2335572304,19565759
252.297153021,193569592,5140743389,96018626
253.297696905,132937928,2455851912,19803959
254.298270303,4078263,28351146,95578
255.29885765,4237495,41954811,210792
256.299300504,143993156,2435512800,12373138
257.299720152,306947365,6881244726,57316272
258.300146723,297418145,5114551824,51114066
259.300750981,173448189,4484873150,48251111
260.301288955,33416950,576247311,7779041
261.301796616,6642080,87503858,364290
262.038757012,6468328,78756074,414421
